Angular_Distances(radians) , Number_of_Entries
1.607e+00 , 2743364 
1.613e+00 , 2741955 
1.621e+00 , 2744906 
1.628e+00 , 2743349 
1.635e+00 , 2741129 
1.641e+00 , 2748028 
1.649e+00 , 2748423 
1.656e+00 , 2746715 
1.663e+00 , 2738594 
1.669e+00 , 2744952 
1.677e+00 , 2748653 
1.684e+00 , 2747327 
1.691e+00 , 2744596 
1.698e+00 , 2744863 
1.705e+00 , 2736757 
1.712e+00 , 2738209 
1.719e+00 , 2730409 
1.726e+00 , 2723010 
1.733e+00 , 2723338 
1.740e+00 , 2727093 
1.747e+00 , 2720797 
1.754e+00 , 2719616 
1.761e+00 , 2718829 
1.768e+00 , 2719396 
1.775e+00 , 2716319 
1.782e+00 , 2710590 
1.789e+00 , 2709115 
1.796e+00 , 2702409 
1.803e+00 , 2699374 
1.810e+00 , 2685345 
1.817e+00 , 2674055 
1.824e+00 , 2666574 
1.831e+00 , 2665477 
1.838e+00 , 2655184 
1.845e+00 , 2656223 
1.852e+00 , 2649486 
1.859e+00 , 2644863 
1.866e+00 , 2634039 
1.873e+00 , 2628819 
1.880e+00 , 2624357 
1.887e+00 , 2612769 
1.894e+00 , 2610927 
1.901e+00 , 2603738 
1.908e+00 , 2599546 
1.915e+00 , 2588757 
1.922e+00 , 2586328 
1.929e+00 , 2584779 
1.936e+00 , 2575557 
1.943e+00 , 2566390 
1.950e+00 , 2566446 
1.957e+00 , 2561727 
1.964e+00 , 2549078 
1.971e+00 , 2545756 
1.978e+00 , 2540822 
1.985e+00 , 2537722 
1.992e+00 , 2531629 
1.999e+00 , 2526648 
2.006e+00 , 2527043 
2.013e+00 , 2512317 
2.020e+00 , 2507756 
2.026e+00 , 2501825 
2.033e+00 , 2488364 
2.041e+00 , 2484093 
2.048e+00 , 2474065 
2.055e+00 , 2466234 
2.062e+00 , 2457552 
2.069e+00 , 2449551 
2.076e+00 , 2445919 
2.082e+00 , 2433564 
2.089e+00 , 2425333 
2.097e+00 , 2412852 
2.104e+00 , 2402275 
2.111e+00 , 2391029 
2.118e+00 , 2386476 
2.125e+00 , 2376948 
2.132e+00 , 2362427 
2.138e+00 , 2359147 
2.146e+00 , 2343730 
2.153e+00 , 2337041 
2.160e+00 , 2321003 
2.167e+00 , 2307414 
2.174e+00 , 2291982 
2.181e+00 , 2276975 
2.188e+00 , 2264443 
2.194e+00 , 2251485 
2.202e+00 , 2239332 
2.209e+00 , 2223873 
2.216e+00 , 2212649 
2.223e+00 , 2198043 
2.230e+00 , 2190534 
2.237e+00 , 2172884 
2.243e+00 , 2164053 
2.250e+00 , 2150763 
2.258e+00 , 2139606 
2.265e+00 , 2129177 
2.272e+00 , 2116544 
2.279e+00 , 2100711 
2.286e+00 , 2092409 
2.293e+00 , 2079405 
2.299e+00 , 2064972 
2.306e+00 , 2054724 
2.314e+00 , 2041133 
2.321e+00 , 2028625 
2.328e+00 , 2014334 
2.335e+00 , 2003436 
2.342e+00 , 1997181 
2.349e+00 , 1982025 
2.355e+00 , 1963461 
2.363e+00 , 1947637 
2.370e+00 , 1932987 
2.377e+00 , 1922966 
2.384e+00 , 1912985 
