Bins, HIstogram data
-1.750e-02 , 0 
1.750e-02 , 200329940 
5.250e-02 , 1094689 
8.750e-02 , 1572002 
1.225e-01 , 2162807 
1.575e-01 , 3051123 
1.925e-01 , 3730818 
2.275e-01 , 4215984 
2.625e-01 , 4301748 
2.975e-01 , 4779879 
3.325e-01 , 4907958 
3.675e-01 , 5565438 
4.025e-01 , 6291047 
4.375e-01 , 6773744 
4.725e-01 , 7197100 
5.075e-01 , 7833521 
5.425e-01 , 8016335 
5.775e-01 , 8676174 
6.125e-01 , 9230172 
6.475e-01 , 9372965 
6.825e-01 , 10447742 
7.175e-01 , 10761812 
7.525e-01 , 11470721 
7.875e-01 , 11652839 
8.225e-01 , 11225584 
8.575e-01 , 12839063 
8.925e-01 , 13327956 
9.275e-01 , 13149907 
9.625e-01 , 13650055 
9.975e-01 , 14101874 
1.033e+00 , 15089271 
1.067e+00 , 16189279 
1.102e+00 , 15928107 
1.138e+00 , 16481910 
1.173e+00 , 16935849 
1.207e+00 , 17946190 
1.242e+00 , 18769972 
1.278e+00 , 20140513 
1.312e+00 , 20798538 
1.347e+00 , 21037323 
1.383e+00 , 22405108 
1.418e+00 , 24016243 
1.452e+00 , 24826852 
1.487e+00 , 26926348 
1.523e+00 , 18863199 
1.558e+00 , 8565363 
1.592e+00 , 3146880 
1.628e+00 , 3101051 
1.663e+00 , 3054620 
1.697e+00 , 3002573 
1.732e+00 , 2953423 
1.768e+00 , 2899354 
1.803e+00 , 2847135 
1.837e+00 , 2789280 
1.873e+00 , 2738798 
1.908e+00 , 2677437 
1.942e+00 , 2617493 
1.977e+00 , 2552496 
2.013e+00 , 2484527 
2.047e+00 , 2405767 
2.082e+00 , 2330102 
2.118e+00 , 2255318 
2.152e+00 , 2180702 
2.188e+00 , 2102885 
2.223e+00 , 2023296 
2.257e+00 , 1940863 
2.293e+00 , 1858494 
2.328e+00 , 1783754 
2.362e+00 , 1700261 
2.398e+00 , 1616897 
2.433e+00 , 1538048 
2.467e+00 , 1454594 
2.503e+00 , 1366187 
2.537e+00 , 1276454 
2.572e+00 , 1187912 
2.608e+00 , 1102996 
2.642e+00 , 1013350 
2.678e+00 , 926886 
2.713e+00 , 839424 
2.747e+00 , 748974 
2.783e+00 , 655821 
2.818e+00 , 565150 
2.852e+00 , 475546 
2.888e+00 , 387273 
2.922e+00 , 298014 
2.957e+00 , 210808 
2.993e+00 , 125952 
3.027e+00 , 61839 
3.062e+00 , 24619 
3.098e+00 , 5549 
3.132e+00 , 136 
3.168e+00 , 0 
3.203e+00 , 0 
3.237e+00 , 0 
3.273e+00 , 0 
3.308e+00 , 0 
3.342e+00 , 0 
3.378e+00 , 0 
3.412e+00 , 0 
3.447e+00 , 0 
3.483e+00 , 0 
3.517e+00 , 0 
