Bins, HIstogram data
1.852e+00 , 321 
1.859e+00 , 337 
1.866e+00 , 342 
1.873e+00 , 339 
1.880e+00 , 343 
1.887e+00 , 329 
1.894e+00 , 334 
1.901e+00 , 310 
1.908e+00 , 336 
1.915e+00 , 307 
1.922e+00 , 337 
1.929e+00 , 308 
1.936e+00 , 360 
1.943e+00 , 366 
1.950e+00 , 333 
1.957e+00 , 314 
1.964e+00 , 307 
1.971e+00 , 343 
1.978e+00 , 321 
1.985e+00 , 325 
1.992e+00 , 340 
1.999e+00 , 316 
2.006e+00 , 331 
2.013e+00 , 290 
2.020e+00 , 306 
2.026e+00 , 344 
2.033e+00 , 321 
2.041e+00 , 324 
2.048e+00 , 303 
2.055e+00 , 348 
2.062e+00 , 334 
2.069e+00 , 384 
2.076e+00 , 336 
2.082e+00 , 365 
2.089e+00 , 377 
2.097e+00 , 300 
2.104e+00 , 325 
2.111e+00 , 318 
2.118e+00 , 350 
2.125e+00 , 312 
2.132e+00 , 305 
2.138e+00 , 327 
2.146e+00 , 345 
2.153e+00 , 334 
2.160e+00 , 301 
2.167e+00 , 341 
2.174e+00 , 292 
2.181e+00 , 341 
2.188e+00 , 299 
2.194e+00 , 313 
2.202e+00 , 338 
2.209e+00 , 297 
2.216e+00 , 318 
2.223e+00 , 295 
2.230e+00 , 346 
2.237e+00 , 288 
2.243e+00 , 294 
2.250e+00 , 266 
2.258e+00 , 318 
2.265e+00 , 329 
2.272e+00 , 321 
2.279e+00 , 297 
2.286e+00 , 307 
2.293e+00 , 316 
2.299e+00 , 347 
2.306e+00 , 348 
2.314e+00 , 368 
2.321e+00 , 343 
2.328e+00 , 311 
2.335e+00 , 354 
2.342e+00 , 326 
2.349e+00 , 316 
2.355e+00 , 297 
2.363e+00 , 276 
2.370e+00 , 318 
2.377e+00 , 307 
2.384e+00 , 300 
2.391e+00 , 316 
2.398e+00 , 304 
2.405e+00 , 282 
2.411e+00 , 273 
2.419e+00 , 293 
2.426e+00 , 298 
2.433e+00 , 321 
2.440e+00 , 294 
2.447e+00 , 276 
2.454e+00 , 274 
2.461e+00 , 301 
2.467e+00 , 299 
2.475e+00 , 307 
2.482e+00 , 274 
2.489e+00 , 282 
2.496e+00 , 293 
2.503e+00 , 251 
2.510e+00 , 285 
2.516e+00 , 258 
2.523e+00 , 267 
2.531e+00 , 252 
2.538e+00 , 236 
2.545e+00 , 246 
2.552e+00 , 225 
2.559e+00 , 258 
2.566e+00 , 227 
2.572e+00 , 214 
2.580e+00 , 198 
2.587e+00 , 203 
2.594e+00 , 206 
2.601e+00 , 175 
2.608e+00 , 167 
2.615e+00 , 207 
2.622e+00 , 183 
2.628e+00 , 244 
2.636e+00 , 195 
2.643e+00 , 186 
2.650e+00 , 206 
2.657e+00 , 208 
2.664e+00 , 184 
2.671e+00 , 195 
2.678e+00 , 186 
2.684e+00 , 188 
2.692e+00 , 159 
2.699e+00 , 165 
2.706e+00 , 159 
2.713e+00 , 156 
2.720e+00 , 151 
2.727e+00 , 160 
2.734e+00 , 133 
2.740e+00 , 144 
2.748e+00 , 157 
2.755e+00 , 149 
2.762e+00 , 155 
2.769e+00 , 164 
2.776e+00 , 136 
2.783e+00 , 141 
2.789e+00 , 138 
2.796e+00 , 154 
2.804e+00 , 131 
2.811e+00 , 146 
2.818e+00 , 131 
2.825e+00 , 119 
2.832e+00 , 125 
2.839e+00 , 105 
2.845e+00 , 122 
2.853e+00 , 98 
2.860e+00 , 94 
2.867e+00 , 93 
2.874e+00 , 93 
2.881e+00 , 94 
2.888e+00 , 85 
2.895e+00 , 60 
2.901e+00 , 78 
2.909e+00 , 59 
2.916e+00 , 87 
2.923e+00 , 83 
2.930e+00 , 75 
2.937e+00 , 80 
2.944e+00 , 73 
2.951e+00 , 58 
2.957e+00 , 65 
2.965e+00 , 50 
2.972e+00 , 63 
2.979e+00 , 67 
2.986e+00 , 56 
2.993e+00 , 56 
3.000e+00 , 42 
3.007e+00 , 46 
3.013e+00 , 48 
3.021e+00 , 42 
3.028e+00 , 31 
3.035e+00 , 48 
3.042e+00 , 46 
3.049e+00 , 35 
3.056e+00 , 36 
3.062e+00 , 24 
3.070e+00 , 24 
3.077e+00 , 18 
3.084e+00 , 21 
3.091e+00 , 20 
3.098e+00 , 13 
3.105e+00 , 11 
3.112e+00 , 9 
3.118e+00 , 12 
3.126e+00 , 3 
3.133e+00 , 4 
3.140e+00 , 2 
3.147e+00 , 0 
3.154e+00 , 0 
3.161e+00 , 0 
3.168e+00 , 0 
3.174e+00 , 0 
3.182e+00 , 0 
3.189e+00 , 0 
3.196e+00 , 0 
3.203e+00 , 0 
3.210e+00 , 0 
3.217e+00 , 0 
3.224e+00 , 0 
3.230e+00 , 0 
3.238e+00 , 0 
3.245e+00 , 0 
3.252e+00 , 0 
3.259e+00 , 0 
3.266e+00 , 0 
3.273e+00 , 0 
3.280e+00 , 0 
3.287e+00 , 0 
3.294e+00 , 0 
3.301e+00 , 0 
3.308e+00 , 0 
3.315e+00 , 0 
3.322e+00 , 0 
3.329e+00 , 0 
3.336e+00 , 0 
3.343e+00 , 0 
3.350e+00 , 0 
3.357e+00 , 0 
3.364e+00 , 0 
3.371e+00 , 0 
3.378e+00 , 0 
3.385e+00 , 0 
3.391e+00 , 0 
3.399e+00 , 0 
3.406e+00 , 0 
3.413e+00 , 0 
3.420e+00 , 0 
3.427e+00 , 0 
3.434e+00 , 0 
3.441e+00 , 0 
3.447e+00 , 0 
3.455e+00 , 0 
3.462e+00 , 0 
3.469e+00 , 0 
3.476e+00 , 0 
3.483e+00 , 0 
3.490e+00 , 0 
3.497e+00 , 0 
3.504e+00 , 0 
