Bins, HIstogram data
1.613e+00 , 623282 
1.621e+00 , 622984 
1.628e+00 , 620033 
1.635e+00 , 618301 
1.641e+00 , 616458 
1.649e+00 , 614269 
1.656e+00 , 613590 
1.663e+00 , 610056 
1.669e+00 , 609526 
1.677e+00 , 607177 
1.684e+00 , 602892 
1.691e+00 , 602566 
1.698e+00 , 600215 
1.705e+00 , 599244 
1.712e+00 , 597652 
1.719e+00 , 595344 
1.726e+00 , 593050 
1.733e+00 , 590330 
1.740e+00 , 589191 
1.747e+00 , 585512 
1.754e+00 , 583256 
1.761e+00 , 580939 
1.768e+00 , 580445 
1.775e+00 , 578306 
1.782e+00 , 576406 
1.789e+00 , 573735 
1.796e+00 , 571215 
1.803e+00 , 569847 
1.810e+00 , 567491 
1.817e+00 , 564857 
1.824e+00 , 561888 
1.831e+00 , 560092 
1.838e+00 , 557338 
1.845e+00 , 555767 
1.852e+00 , 554192 
1.859e+00 , 552334 
1.866e+00 , 549377 
1.873e+00 , 548827 
1.880e+00 , 544973 
1.887e+00 , 543283 
1.894e+00 , 540716 
1.901e+00 , 537433 
1.908e+00 , 535437 
1.915e+00 , 532542 
1.922e+00 , 531316 
1.929e+00 , 528822 
1.936e+00 , 524316 
1.943e+00 , 523260 
1.950e+00 , 521727 
1.957e+00 , 519380 
1.964e+00 , 515512 
1.971e+00 , 513601 
1.978e+00 , 510848 
1.985e+00 , 508119 
1.992e+00 , 504404 
1.999e+00 , 502212 
2.006e+00 , 500725 
2.013e+00 , 497310 
2.020e+00 , 493179 
2.026e+00 , 491101 
2.033e+00 , 487232 
2.041e+00 , 484210 
2.048e+00 , 480251 
2.055e+00 , 478540 
2.062e+00 , 475545 
2.069e+00 , 471593 
2.076e+00 , 470124 
2.082e+00 , 465751 
2.089e+00 , 463043 
2.097e+00 , 459580 
2.104e+00 , 456929 
2.111e+00 , 454267 
2.118e+00 , 450723 
2.125e+00 , 448699 
2.132e+00 , 444700 
2.138e+00 , 442392 
2.146e+00 , 439473 
2.153e+00 , 434994 
2.160e+00 , 434167 
2.167e+00 , 429682 
2.174e+00 , 426837 
2.181e+00 , 423240 
2.188e+00 , 420109 
2.194e+00 , 418268 
2.202e+00 , 414425 
2.209e+00 , 411361 
2.216e+00 , 407330 
2.223e+00 , 405526 
2.230e+00 , 400967 
2.237e+00 , 398112 
2.243e+00 , 395689 
2.250e+00 , 390513 
2.258e+00 , 388516 
2.265e+00 , 384662 
2.272e+00 , 381491 
2.279e+00 , 377698 
2.286e+00 , 374718 
2.293e+00 , 371195 
2.299e+00 , 369166 
2.306e+00 , 365709 
2.314e+00 , 362614 
2.321e+00 , 359956 
2.328e+00 , 357203 
2.335e+00 , 352836 
2.342e+00 , 351157 
2.349e+00 , 346648 
2.355e+00 , 343024 
2.363e+00 , 339942 
2.370e+00 , 337145 
2.377e+00 , 333501 
2.384e+00 , 329986 
2.391e+00 , 326450 
2.398e+00 , 323433 
2.405e+00 , 320992 
2.411e+00 , 316025 
2.419e+00 , 313579 
2.426e+00 , 310841 
2.433e+00 , 307144 
2.440e+00 , 305101 
2.447e+00 , 301395 
2.454e+00 , 297456 
2.461e+00 , 293829 
2.467e+00 , 292008 
2.475e+00 , 287569 
2.482e+00 , 283720 
2.489e+00 , 279697 
2.496e+00 , 276789 
2.503e+00 , 273488 
