Bins, HIstogram data
-3.500e-03 , 0 
3.500e-03 , 14414 
1.050e-02 , 42497 
1.750e-02 , 70577 
2.450e-02 , 98086 
3.150e-02 , 124997 
3.850e-02 , 151635 
4.550e-02 , 178255 
5.250e-02 , 204078 
5.950e-02 , 230232 
6.650e-02 , 255598 
7.350e-02 , 281448 
8.050e-02 , 307120 
8.750e-02 , 331845 
9.450e-02 , 356801 
1.015e-01 , 381989 
1.085e-01 , 407744 
1.155e-01 , 430377 
1.225e-01 , 458578 
1.295e-01 , 482683 
1.365e-01 , 507943 
1.435e-01 , 532865 
1.505e-01 , 560646 
1.575e-01 , 585125 
1.645e-01 , 609478 
1.715e-01 , 635846 
1.785e-01 , 659733 
1.855e-01 , 685660 
1.925e-01 , 709137 
1.995e-01 , 732040 
2.065e-01 , 754620 
2.135e-01 , 778723 
2.205e-01 , 801075 
2.275e-01 , 821459 
2.345e-01 , 845216 
2.415e-01 , 867163 
2.485e-01 , 888023 
2.555e-01 , 909156 
2.625e-01 , 932914 
2.695e-01 , 952561 
2.765e-01 , 972825 
2.835e-01 , 993489 
2.905e-01 , 1012641 
2.975e-01 , 1033243 
3.045e-01 , 1053237 
3.115e-01 , 1071414 
3.185e-01 , 1091396 
3.255e-01 , 1108114 
3.325e-01 , 1127965 
3.395e-01 , 1146552 
3.465e-01 , 1165139 
3.535e-01 , 1185239 
3.605e-01 , 1200517 
3.675e-01 , 1217578 
3.745e-01 , 1236763 
3.815e-01 , 1254499 
3.885e-01 , 1271915 
3.955e-01 , 1290157 
4.025e-01 , 1306722 
4.095e-01 , 1324504 
4.165e-01 , 1341623 
4.235e-01 , 1357442 
4.305e-01 , 1372101 
4.375e-01 , 1390645 
4.445e-01 , 1407419 
4.515e-01 , 1421301 
4.585e-01 , 1437833 
4.655e-01 , 1454178 
4.725e-01 , 1467478 
4.795e-01 , 1482276 
4.865e-01 , 1497457 
4.935e-01 , 1514715 
5.005e-01 , 1528762 
5.075e-01 , 1544074 
5.145e-01 , 1555412 
5.215e-01 , 1570138 
5.285e-01 , 1583103 
5.355e-01 , 1600466 
5.425e-01 , 1614950 
5.495e-01 , 1625620 
5.565e-01 , 1639614 
5.635e-01 , 1655616 
5.705e-01 , 1668196 
5.775e-01 , 1682988 
5.845e-01 , 1693059 
5.915e-01 , 1709055 
5.985e-01 , 1720997 
6.055e-01 , 1733223 
6.125e-01 , 1746361 
6.195e-01 , 1760215 
6.265e-01 , 1769384 
6.335e-01 , 1783131 
6.405e-01 , 1796191 
6.475e-01 , 1808351 
6.545e-01 , 1821501 
6.615e-01 , 1833198 
6.685e-01 , 1842457 
6.755e-01 , 1854669 
6.825e-01 , 1866660 
6.895e-01 , 1877611 
6.965e-01 , 1889923 
7.035e-01 , 1900946 
7.105e-01 , 1914189 
7.175e-01 , 1922010 
7.245e-01 , 1932031 
7.315e-01 , 1945137 
7.385e-01 , 1955539 
7.455e-01 , 1963026 
7.525e-01 , 1971243 
7.595e-01 , 1985793 
7.665e-01 , 1995410 
7.735e-01 , 2005909 
7.805e-01 , 2015693 
7.875e-01 , 2026476 
7.945e-01 , 2035964 
8.015e-01 , 2048102 
8.085e-01 , 2055035 
8.155e-01 , 2062881 
8.225e-01 , 2075840 
8.295e-01 , 2083537 
8.365e-01 , 2094440 
8.435e-01 , 2101118 
8.505e-01 , 2112714 
8.575e-01 , 2118757 
8.645e-01 , 2128423 
8.715e-01 , 2135186 
8.785e-01 , 2145426 
8.855e-01 , 2153611 
8.925e-01 , 2160113 
8.995e-01 , 2168901 
9.065e-01 , 2179680 
9.135e-01 , 2186277 
9.205e-01 , 2196048 
9.275e-01 , 2201544 
9.345e-01 , 2211077 
9.415e-01 , 2217449 
9.485e-01 , 2225727 
9.555e-01 , 2233650 
9.625e-01 , 2241654 
9.695e-01 , 2246195 
9.765e-01 , 2256320 
9.835e-01 , 2262958 
9.905e-01 , 2265787 
9.975e-01 , 2276603 
1.005e+00 , 2282171 
1.012e+00 , 2288310 
1.019e+00 , 2295931 
1.026e+00 , 2300648 
1.033e+00 , 2309458 
1.039e+00 , 2315823 
1.047e+00 , 2322044 
1.054e+00 , 2327506 
1.061e+00 , 2334280 
1.067e+00 , 2341468 
1.075e+00 , 2345690 
1.082e+00 , 2350487 
1.089e+00 , 2358044 
1.095e+00 , 2363747 
1.103e+00 , 2368048 
1.110e+00 , 2371273 
1.117e+00 , 2380971 
1.123e+00 , 2385831 
1.131e+00 , 2388980 
1.138e+00 , 2395945 
1.145e+00 , 2400308 
1.151e+00 , 2404629 
1.159e+00 , 2408905 
1.166e+00 , 2414301 
1.173e+00 , 2417332 
1.179e+00 , 2424656 
1.187e+00 , 2427103 
1.194e+00 , 2433009 
1.201e+00 , 2434684 
1.207e+00 , 2440292 
1.215e+00 , 2443545 
1.222e+00 , 2447844 
1.229e+00 , 2453756 
1.236e+00 , 2457279 
1.243e+00 , 2460217 
1.250e+00 , 2461322 
1.257e+00 , 2465508 
1.264e+00 , 2470050 
1.271e+00 , 2474116 
1.278e+00 , 2477938 
1.285e+00 , 2478878 
1.292e+00 , 2483474 
1.299e+00 , 2482401 
1.306e+00 , 2488534 
1.312e+00 , 2489362 
1.320e+00 , 2493789 
1.327e+00 , 2496637 
1.334e+00 , 2501663 
1.340e+00 , 2502211 
1.348e+00 , 2506644 
1.355e+00 , 2507109 
1.362e+00 , 2510491 
1.368e+00 , 2510047 
1.376e+00 , 2514929 
1.383e+00 , 2515465 
1.390e+00 , 2520713 
1.396e+00 , 2517571 
1.404e+00 , 2524680 
1.411e+00 , 2525166 
1.418e+00 , 2525903 
1.424e+00 , 2531941 
1.432e+00 , 2526675 
1.439e+00 , 2534276 
1.446e+00 , 2531346 
1.452e+00 , 2535198 
1.460e+00 , 2533446 
1.467e+00 , 2535485 
1.474e+00 , 2535226 
1.481e+00 , 2534066 
1.488e+00 , 2538711 
1.495e+00 , 2535901 
1.502e+00 , 2539366 
1.509e+00 , 2538252 
1.516e+00 , 2540133 
1.523e+00 , 2539980 
1.530e+00 , 2541965 
1.537e+00 , 2544390 
1.544e+00 , 2539764 
1.551e+00 , 2541842 
1.558e+00 , 2545097 
1.565e+00 , 2543273 
1.572e+00 , 2542198 
1.579e+00 , 2543416 
1.586e+00 , 2542379 
1.593e+00 , 2539667 
1.600e+00 , 2538960 
1.607e+00 , 2543499 
1.613e+00 , 2540027 
1.621e+00 , 2540290 
1.628e+00 , 2539898 
1.635e+00 , 2538055 
1.641e+00 , 2537823 
1.649e+00 , 2535997 
1.656e+00 , 2536858 
1.663e+00 , 2537607 
1.669e+00 , 2531733 
1.677e+00 , 2532067 
1.684e+00 , 2531895 
1.691e+00 , 2530003 
1.698e+00 , 2531747 
1.705e+00 , 2531982 
1.712e+00 , 2528876 
1.719e+00 , 2530534 
1.726e+00 , 2525407 
1.733e+00 , 2525353 
1.740e+00 , 2523949 
1.747e+00 , 2521837 
1.754e+00 , 2518600 
1.761e+00 , 2515139 
1.768e+00 , 2512465 
1.775e+00 , 2510591 
1.782e+00 , 2509759 
1.789e+00 , 2507163 
1.796e+00 , 2505838 
1.803e+00 , 2499814 
1.810e+00 , 2498839 
1.817e+00 , 2495003 
1.824e+00 , 2491457 
1.831e+00 , 2490636 
1.838e+00 , 2486408 
1.845e+00 , 2488774 
1.852e+00 , 2479867 
1.859e+00 , 2479847 
1.866e+00 , 2476608 
1.873e+00 , 2471057 
1.880e+00 , 2465644 
1.887e+00 , 2464139 
1.894e+00 , 2461398 
1.901e+00 , 2457160 
1.908e+00 , 2453780 
1.915e+00 , 2449682 
1.922e+00 , 2447855 
