6.67420e8   5.97400e24   734.90000e20  
41000.00000  2.00580e20  27952.75326,0.00000,0.00000,1.36621,0.00003,382127721.48660,0.00000,0.00000,111.05943,0.00273,
42000.00000  2.00696e20  29335.76388,0.00000,0.00000,1.39981,0.00003,382015296.59251,0.00000,0.00000,113.79036,0.00273,
43000.00000  2.00816e20  30752.37946,0.00000,0.00000,1.43342,0.00003,381900139.95265,0.00000,0.00000,116.52292,0.00273,
44000.00000  2.00938e20  32202.62026,0.00000,0.00000,1.46706,0.00003,381782249.91897,0.00000,0.00000,119.25715,0.00273,
45000.00000  2.01064e20  33686.50708,0.00000,0.00000,1.50072,0.00003,381661624.80228,0.00000,0.00000,121.99309,0.00274,
46000.00000  2.01193e20  35204.06119,0.00000,0.00000,1.53439,0.00003,381538262.87213,0.00000,0.00000,124.73077,0.00274,
47000.00000  2.01325e20  36755.30439,0.00000,0.00000,1.56809,0.00003,381412162.35669,0.00000,0.00000,127.47026,0.00274,
48000.00000  2.01459e20  38340.25899,0.00000,0.00000,1.60182,0.00003,381283321.44255,0.00000,0.00000,130.21157,0.00274,
49000.00000  2.01597e20  39958.94781,0.00000,0.00000,1.63556,0.00003,381151738.27466,0.00000,0.00000,132.95476,0.00274,
50000.00000  2.01738e20  41611.39418,0.00000,0.00000,1.66933,0.00003,381017410.95609,0.00000,0.00000,135.69987,0.00275,
51000.00000  2.01882e20  43297.62196,0.00000,0.00000,1.70312,0.00003,380880337.54793,0.00000,0.00000,138.44694,0.00275,
52000.00000  2.02029e20  45017.65552,0.00000,0.00000,1.73694,0.00003,380740516.06912,0.00000,0.00000,141.19601,0.00275,
53000.00000  2.02180e20  46771.51975,0.00000,0.00000,1.77079,0.00003,380597944.49629,0.00000,0.00000,143.94713,0.00275,
54000.00000  2.02333e20  48559.24005,0.00000,0.00000,1.80465,0.00003,380452620.76357,0.00000,0.00000,146.70033,0.00275,
55000.00000  2.02489e20  50380.84238,0.00000,0.00000,1.83855,0.00003,380304542.76247,0.00000,0.00000,149.45567,0.00276,
56000.00000  2.02649e20  52236.35319,0.00000,0.00000,1.87247,0.00003,380153708.34166,0.00000,0.00000,152.21317,0.00276,
57000.00000  2.02812e20  54125.79948,0.00000,0.00000,1.90642,0.00003,380000115.30680,0.00000,0.00000,154.97290,0.00276,
58000.00000  2.02978e20  56049.20877,0.00000,0.00000,1.94040,0.00003,379843761.42040,0.00000,0.00000,157.73488,0.00276,
59000.00000  2.03147e20  58006.60913,0.00000,0.00000,1.97440,0.00003,379684644.40158,0.00000,0.00000,160.49916,0.00276,
60000.00000  2.03320e20  59998.02914,0.00000,0.00000,2.00844,0.00003,379522761.92590,0.00000,0.00000,163.26579,0.00277,
61000.00000  2.03495e20  62023.49793,0.00000,0.00000,2.04250,0.00003,379358111.62521,0.00000,0.00000,166.03481,0.00277,
62000.00000  2.03674e20  64083.04519,0.00000,0.00000,2.07659,0.00003,379190691.08738,0.00000,0.00000,168.80626,0.00277,
63000.00000  2.03856e20  66176.70113,0.00000,0.00000,2.11072,0.00003,379020497.85614,0.00000,0.00000,171.58020,0.00277,
64000.00000  2.04042e20  68304.49651,0.00000,0.00000,2.14487,0.00003,378847529.43088,0.00000,0.00000,174.35665,0.00278,
65000.00000  2.04230e20  70466.46263,0.00000,0.00000,2.17906,0.00003,378671783.26643,0.00000,0.00000,177.13568,0.00278,
66000.00000  2.04422e20  72662.63136,0.00000,0.00000,2.21328,0.00003,378493256.77284,0.00000,0.00000,179.91731,0.00278,
